Trade_Date,Exchange,Sett Type,Scrip_Name,Order_Type,Qty,Mkt_Price,Mkt Value,Squp/Del,Brok_Amt,Net Amt,Product,Aggregated_Taxes
28-Nov-22,NSE,N,WELSPUN LIVING LIMITED,S,27,80.6,2176.2,D,16.32,2154.66,Cash,5.220000000000001
28-Nov-22,NSE,N,WELSPUN LIVING LIMITED,S,319,80.6,25711.4,D,192.84,25457.05,Cash,61.510000000000005
29-Nov-22,NSE,N,BIRLASOFT LIMITED,B,82,296.75,24333.5,D,182.5,-24577.86,Cash,61.86
29-Nov-22,NSE,N,BIRLASOFT LIMITED,B,68,296.75,20179.0,D,151.34,-20381.63,Cash,51.29
30-Nov-22,NSE,M,CENTURY ENKA LTD,B,6,424.5,2547.0,D,19.1,-2572.58,Cash,6.48
30-Nov-22,NSE,M,CENTURY ENKA LTD,B,1,424.5,424.5,D,3.18,-428.75,Cash,1.07
30-Nov-22,NSE,M,CENTURY ENKA LTD,B,3,424.5,1273.5,D,9.55,-1286.27,Cash,3.22
30-Nov-22,NSE,M,CENTURY ENKA LTD,B,40,424.5,16980.0,D,127.35,-17150.51,Cash,43.160000000000004
30-Nov-22,NSE,N,NMDC LTD.,S,500,117.7,58850.0,D,441.38,58267.86,Cash,140.76
01-Dec-22,NSE,N,NTPC LTD,S,250,172.15,43037.5,D,322.78,42611.8,Cash,102.92000000000002
01-Dec-22,NSE,N,STEEL AUTHORITY OF INDIA,S,450,86.0,38700.0,D,290.25,38317.19,Cash,92.56
01-Dec-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,100,378.0,37800.0,D,283.5,-38179.4,Cash,95.9
01-Dec-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,100,377.3,37730.0,D,282.98,-38108.77,Cash,95.79
01-Dec-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,50,370.0,18500.0,D,138.75,-18686.1,Cash,47.35000000000001
02-Dec-22,NSE,N,BIRLASOFT LIMITED,S,50,326.1,16305.0,D,122.29,16143.71,Cash,39.01
